NACE21_CODE	LEVEL	NACE21_HEADING	NACE2_CODE	NACE2_HEADING	Common_Content	Mapping_Type
"01"	"2"	"01 Crop and animal production, hunting and related service activities"	"01"	"01 Crop and animal production, hunting and related service activities"		"NACE Rev. 2.1 division 01 is mapped to NACE Rev. 2 divisions 01, 03"
"01"	"2"	"01 Crop and animal production, hunting and related service activities"	"03"	"03 Fishing and aquaculture"		"NACE Rev. 2.1 division 01 is mapped to NACE Rev. 2 divisions 01, 03"
"01.1"	"3"	"01.1 Growing of non-perennial crops"	"01.1"	"01.1 Growing of non-perennial crops"		"NACE Rev. 2.1 group 01.1 is mapped to NACE Rev. 2 groups 01.1, 01.2"
"01.1"	"3"	"01.1 Growing of non-perennial crops"	"01.2"	"01.2 Growing of perennial crops"		"NACE Rev. 2.1 group 01.1 is mapped to NACE Rev. 2 groups 01.1, 01.2"
"01.11"	"4"	"01.11 Growing of cereals, other than rice, leguminous crops and oil seeds"	"01.11"	"01.11 Growing of cereals (except rice), leguminous crops and oil seeds"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.11 is mapped to NACE Rev. 2 class 01.11"
"01.12"	"4"	"01.12 Growing of rice"	"01.12"	"01.12 Growing of rice"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.12 is mapped to NACE Rev. 2 class 01.12"
"01.13"	"4"	"01.13 Growing of vegetables and melons, roots and tubers"	"01.13"	"01.13 Growing of vegetables and melons, roots and tubers"		"NACE Rev. 2.1 class 01.13 is mapped to NACE Rev. 2 classes 01.13, 01.19, 01.28"
"01.13"	"4"	"01.13 Growing of vegetables and melons, roots and tubers"	"01.19"	"01.19 Growing of other non-perennial crops"		"NACE Rev. 2.1 class 01.13 is mapped to NACE Rev. 2 classes 01.13, 01.19, 01.28"
"01.13"	"4"	"01.13 Growing of vegetables and melons, roots and tubers"	"01.28"	"01.28 Growing of spices, aromatic, drug and pharmaceutical crops"		"NACE Rev. 2.1 class 01.13 is mapped to NACE Rev. 2 classes 01.13, 01.19, 01.28"
"01.14"	"4"	"01.14 Growing of sugar cane"	"01.14"	"01.14 Growing of sugar cane"	"the content of the NACE Rev 2 class is fully covered in the corresponding NACE Rev 2.1 class"	"NACE Rev. 2.1 class 01.14 is mapped to NACE Rev. 2 class 01.14"
