name_company,sector,technology,production_unit,year,production,emission_factor,country_of_domicile,plant_location,is_ultimate_owner,is_ultimate_listed_owner,ald_timestamp
aba hydropower generation co ltd,power,hydrocap,MW,2013,133340.2215,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2014,131581.8956,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2015,129823.5696,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2016,128065.2437,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2017,126306.9178,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2018,124548.5918,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2019,122790.2659,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2020,121031.94,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2021,119273.6141,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2022,117515.2881,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2023,115756.9622,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2024,113998.6363,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2025,112240.3103,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2026,110481.9844,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2027,108723.6585,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2028,106965.3325,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2029,105207.0066,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2030,103448.6807,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2031,101690.3548,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2032,99932.02883,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2033,98173.7029,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2034,96415.37697,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2035,94657.05104,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2036,92898.72511,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2037,91140.39918,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2038,89382.07325,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2039,87623.74732,NA,DM,MY,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2040,85865.42139,NA,DM,MY,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2013,4632983.696,0.642657259,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2014,4875108.571,0.654147228,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2015,5117233.447,0.665637196,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2016,5359358.322,0.677127165,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2017,5601483.197,0.688617134,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2018,5843608.072,0.700107102,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2019,6085732.947,0.711597071,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2020,6327857.823,0.723087039,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2021,6569982.698,0.734577008,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2022,6812107.573,0.746066977,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2023,7054232.448,0.757556945,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2024,7296357.323,0.769046914,AO,CI,TRUE,FALSE,1994Q1
achinsky glinoziemskij kombinat,cement,integrated facility,tonnes per year,2025,7538482.199,0.780536882,AO,CI,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2013,11347.84804,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2014,11744.7738,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2015,12141.69955,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2016,12538.6253,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2017,12935.55106,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2018,13332.47681,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2019,13729.40256,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2020,14126.32832,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2021,14523.25407,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2022,14920.17982,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2023,15317.10558,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2024,15714.03133,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2025,16110.95708,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2026,16507.88284,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2027,16904.80859,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2028,17301.73434,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2029,17698.6601,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2030,18095.58585,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2031,18492.51161,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2032,18889.43736,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2033,19286.36311,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2034,19683.28887,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2035,20080.21462,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2036,20477.14037,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2037,20874.06613,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2038,21270.99188,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2039,21667.91763,NA,AS,MW,TRUE,FALSE,1994Q1
affinity renewables inc.,power,renewablescap,MW,2040,22064.84339,NA,AS,MW,TRUE,FALSE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2013,32422050.65,4765807.852,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2014,31919907.22,4406059.616,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2015,31417763.79,4046311.379,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2016,30915620.36,3686563.142,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2017,30413476.92,3326814.905,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2018,29911333.49,2967066.669,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2019,29409190.06,2607318.432,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2020,28907046.63,2247570.195,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2021,28404903.19,1887821.958,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2022,27902759.76,1528073.722,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2023,27400616.33,1168325.485,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2024,26898472.9,808577.2481,CD,CM,TRUE,TRUE,1994Q1
africa oil corp,oil and gas,oil,GJ per day,2025,26396329.46,448829.0113,CD,CM,TRUE,TRUE,1994Q1
africon shipping sa,shipping,f,active ships,2013,5.604665923,39034905.98,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2014,6.003047081,38199124.7,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2015,6.401428238,37363343.42,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2016,6.799809396,36527562.14,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2017,7.198190553,35691780.86,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2018,7.596571711,34855999.58,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2019,7.994952868,34020218.3,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2020,8.393334026,33184437.02,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2021,8.791715183,32348655.74,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2022,9.190096341,31512874.46,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2023,9.588477498,30677093.18,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2024,9.986858656,29841311.9,RE,RW,TRUE,FALSE,1994Q1
africon shipping sa,shipping,f,active ships,2025,10.38523981,29005530.62,RE,RW,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2013,26562.04772,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2014,25258.23712,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2015,23954.42651,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2016,22650.61591,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2017,21346.80531,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2018,20042.99471,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2019,18739.1841,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2020,17435.3735,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2021,16131.5629,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2022,14827.7523,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2023,13523.94169,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2024,12220.13109,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2025,10916.32049,NA,GR,DM,TRUE,FALSE,1994Q1
agni steels private limited,power,renewablescap,MW,2026,9612.509886,NA,GR,DM,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2013,23358.51234,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2014,22753.54708,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2015,22148.58181,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2016,21543.61655,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2017,20938.65128,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2018,20333.68602,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2019,19728.72075,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2020,19123.75549,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2021,18518.79022,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2022,17913.82496,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2023,17308.85969,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2024,16703.89443,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2025,16098.92916,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2026,15493.9639,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2027,14888.99863,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2028,14284.03337,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2029,13679.0681,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2030,13074.10283,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2031,12469.13757,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2032,11864.1723,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2033,11259.20704,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2034,10654.24177,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2035,10049.27651,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2036,9444.311243,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2037,8839.345978,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2038,8234.380713,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2039,7629.415448,NA,MX,NE,TRUE,FALSE,1994Q1
agrenewables,power,renewablescap,MW,2040,7024.450182,NA,MX,NE,TRUE,FALSE,1994Q1
airasia x bhd,aviation,passenger,active planes,2013,668.2614558,38890956.66,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2014,653.3735762,38383185.84,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2015,638.4856965,37875415.03,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2016,623.5978168,37367644.21,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2017,608.7099372,36859873.39,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2018,593.8220575,36352102.58,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2019,578.9341778,35844331.76,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2020,564.0462982,35336560.94,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2021,549.1584185,34828790.13,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2022,534.2705388,34321019.31,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2023,519.3826592,33813248.5,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2024,504.4947795,33305477.68,AF,EG,TRUE,TRUE,1994Q1
airasia x bhd,aviation,passenger,active planes,2025,489.6068998,32797706.86,AF,EG,TRUE,TRUE,1994Q1
airbaltic,aviation,passenger,active planes,2013,239.2720173,38331477.68,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2014,324.7567199,38157080.55,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2015,410.2414225,37982683.42,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2016,495.7261251,37808286.29,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2017,581.2108277,37633889.16,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2018,666.6955303,37459492.03,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2019,752.1802329,37285094.9,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2020,837.6649355,37110697.77,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2021,923.149638,36936300.63,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2022,1008.634341,36761903.5,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2023,1094.119043,36587506.37,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2024,1179.603746,36413109.24,CZ,TH,TRUE,FALSE,1994Q1
airbaltic,aviation,passenger,active planes,2025,1265.088448,36238712.11,CZ,TH,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2013,314.0472063,36618054.59,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2014,314.9934597,36713401.74,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2015,315.9397132,36808748.9,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2016,316.8859666,36904096.06,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2017,317.8322201,36999443.21,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2018,318.7784735,37094790.37,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2019,319.7247269,37190137.53,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2020,320.6709804,37285484.68,MX,VU,TRUE,FALSE,1994Q1
airblue,aviation,passenger,active planes,2021,321.6172338,37380831.84,MX,VU,TRUE,FALSE,1994Q1
