name_company,sector,technology,production_unit,year,production,emission_factor,country_of_domicile,plant_location,number_of_assets,is_ultimate_owner,is_ultimate_listed_owner,ald_timestamp
aba hydropower generation co ltd,power,hydrocap,MW,2013,133340.22149398393,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2014,131581.89556416104,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2015,129823.56963433814,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2016,128065.24370451523,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2017,126306.91777469234,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2018,124548.59184486944,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2019,122790.26591504655,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2020,121031.93998522364,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2021,119273.61405540074,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2022,117515.28812557785,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2023,115756.96219575495,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2024,113998.63626593206,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2025,112240.31033610916,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2026,110481.98440628625,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2027,108723.65847646336,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2028,106965.33254664045,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2029,105207.00661681755,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2030,103448.68068699466,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2031,101690.35475717176,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2032,99932.02882734887,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2033,98173.70289752597,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2034,96415.37696770308,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2035,94657.05103788018,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2036,92898.72510805728,NA,DM,MY,5,TRUE,FALSE,1994Q1
aba hydropower generation co ltd,power,hydrocap,MW,2037,91140.39917823438,NA,DM,MY,5,TRUE,FALSE,1994Q1
