original_code,code_level,code,sector,borderline
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,1,100,not in scope,FALSE
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,1,100,not in scope,FALSE
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,1,100,not in scope,FALSE
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,1,100,not in scope,FALSE
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,1,100,not in scope,FALSE
AGRICULTURE,1,200,not in scope,FALSE
AGRICULTURE,1,200,not in scope,FALSE
AGRICULTURE,1,200,not in scope,FALSE
AGRICULTURE,1,200,not in scope,FALSE
AGRICULTURE,1,200,not in scope,FALSE
AGRICULTURE,1,200,not in scope,FALSE
AGRICULTURE,1,200,not in scope,FALSE
"ARTS, ENTERTAINMENT AND RECREATION",1,300,not in scope,FALSE
"ARTS, ENTERTAINMENT AND RECREATION",1,300,not in scope,FALSE
CONSTRUCTION,1,400,not in scope,FALSE
CONSTRUCTION,1,400,not in scope,FALSE
CONSTRUCTION,1,400,not in scope,FALSE
EDUCATION,1,500,not in scope,FALSE
EDUCATION,1,500,not in scope,FALSE
EDUCATION,1,500,not in scope,FALSE
EDUCATION,1,500,not in scope,FALSE
EDUCATION,1,500,not in scope,FALSE
FINANCE AND INSURANCE,1,600,not in scope,FALSE
FINANCE AND INSURANCE,1,600,not in scope,FALSE
FINANCE AND INSURANCE,1,600,not in scope,FALSE
FINANCE AND INSURANCE,1,600,not in scope,FALSE
FINANCE AND INSURANCE,1,600,not in scope,FALSE
FINANCE AND INSURANCE,1,600,not in scope,FALSE
FINANCE AND INSURANCE,1,600,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL,1,700,not in scope,FALSE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GENERAL COMMERCE,1,800,automotive,TRUE
GOVERNMENT,1,900,not in scope,FALSE
GOVERNMENT,1,900,not in scope,FALSE
GOVERNMENT,1,900,not in scope,FALSE
GOVERNMENT,1,900,not in scope,FALSE
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1,1000,not in scope,FALSE
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,1,1000,not in scope,FALSE
INFORMATION AND COMMUNICATION,1,1100,not in scope,FALSE
INFORMATION AND COMMUNICATION,1,1100,not in scope,FALSE
INFORMATION AND COMMUNICATION,1,1100,not in scope,FALSE
INFORMATION AND COMMUNICATION,1,1100,not in scope,FALSE
INFORMATION AND COMMUNICATION,1,1100,not in scope,FALSE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
MANUFACTURING,1,1200,steel,TRUE
oil and gas,1,1300,oil and gas,TRUE
oil and gas,1,1300,oil and gas,TRUE
oil and gas,1,1300,oil and gas,TRUE
oil and gas,1,1300,oil and gas,TRUE
oil and gas,1,1300,oil and gas,TRUE
oil and gas,1,1300,oil and gas,TRUE
OTHERS,1,1400,not in scope,FALSE
power AND ENERGY,1,1500,power,TRUE
power AND ENERGY,1,1500,power,TRUE
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1,1600,not in scope,FALSE
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1,1600,not in scope,FALSE
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1,1600,not in scope,FALSE
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1,1600,not in scope,FALSE
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1,1600,not in scope,FALSE
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1,1600,not in scope,FALSE
REAL ESTATE ACTIVITIES,1,1700,not in scope,FALSE
REAL ESTATE ACTIVITIES,1,1700,not in scope,FALSE
REAL ESTATE ACTIVITIES,1,1700,not in scope,FALSE
REAL ESTATE ACTIVITIES,1,1700,not in scope,FALSE
REAL ESTATE ACTIVITIES,1,1700,not in scope,FALSE
TRANSPORTATION AND STORAGE,1,1800,not in scope,FALSE
TRANSPORTATION AND STORAGE,1,1800,automotive,TRUE
TRANSPORTATION AND STORAGE,1,1800,shipping,TRUE
TRANSPORTATION AND STORAGE,1,1800,aviation,TRUE
TRANSPORTATION AND STORAGE,1,1800,not in scope,FALSE
"WATER SUPPLY; SEWAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES",1,1900,not in scope,FALSE
"TRAVEL AGENCY, TOUR OPERATOR, RESERVATION SERVICES AND RELATED ACTIVITIES",2,101,not in scope,FALSE
"OFFICE ADMINISTRATIVE, OFFICE SUPPORT AND OTHER BUSINESS SUPPORT ACTIVITIES",2,102,not in scope,FALSE
RENTAL AND LEASING ACTIVITIES,2,103,not in scope,FALSE
SECURITY AND INVESTIGATION ACTIVITIES,2,104,not in scope,FALSE
EMPLOYMENT ACTIVITIES,2,105,not in scope,FALSE
POULTRY & LIVESTOCK,2,201,not in scope,FALSE
CROP PRODUCTION,2,202,not in scope,FALSE
FISHING,2,203,not in scope,FALSE
PLANTATION,2,204,not in scope,FALSE
AGRO SERVICES,2,205,not in scope,FALSE
CASH CROPS,2,206,not in scope,FALSE
Fishing,2,207,not in scope,FALSE
"CREATIVE, ARTS AND ENTERTAINMENT ACTIVITIES",2,301,not in scope,FALSE
SPORTS ACTIVITIES AND AMUSEMENT AND RECREATION ACTIVITIES,2,302,not in scope,FALSE
CIVIL ENGINEERING,2,401,not in scope,FALSE
SPECIALIZED CONSTRUCTION ACTIVITIES,2,402,not in scope,FALSE
SPECIALIZED CONSTRUCTION SERVICES,2,403,not in scope,FALSE
POST PRIMARY EDUCATION,2,501,not in scope,FALSE
PRE PRIMARY AND PRIMARY EDUCATION,2,502,not in scope,FALSE
TERTIARY EDUCATION,2,503,not in scope,FALSE
EDUCATION SUPPORT SERVICES,2,504,not in scope,FALSE
PRE PRIMARY AND PRIMARY EDUCATION,2,505,not in scope,FALSE
OTHER FINANCIAL INSTITUTIONS,2,601,not in scope,FALSE
MICROFINANCE BANK,2,602,not in scope,FALSE
MORTGAGE INSTITUTIONS,2,603,not in scope,FALSE
ASSET MANAGEMENT,2,604,not in scope,FALSE
COMMERCIAL BANKS,2,605,not in scope,FALSE
STOCK BROKING FIRMS,2,606,not in scope,FALSE
INSURANCE COMPANIES,2,607,not in scope,FALSE
Personal,2,701,not in scope,FALSE
PERSONAL,2,702,not in scope,FALSE
RETAIL (OTHERS),2,703,not in scope,FALSE
RETAIL (Others),2,704,not in scope,FALSE
