new_column,old_column,dataset,typeof,definition
FIXME_ald_timestamp,ald_timestamp,ald_demo,character,Date at which asset data was pulled from database
country_of_domicile,country_of_domicile,ald_demo,character,Country where company is registered
ald_emission_factor,emission_factor,ald_demo,double,Company level emission factor of the technology
FIXME_is_ultimate_listed_owner,is_ultimate_listed_owner,ald_demo,logical,Flag if company is the listed ultimate parent
is_ultimate_owner,is_ultimate_owner,ald_demo,logical,Flag if company is the ultimate parent in our database
id,name_company,ald_demo,character,The name of the company owning the asset
FIXME_number_of_assets,number_of_assets,ald_demo,integer,Number of assets of a given technology owned by the company
ald_location,plant_location,ald_demo,character,Country where asset is located
ald_production,production,ald_demo,double,Company level production of the technology
ald_production_unit,production_unit,ald_demo,character,The units that production is measured in
ald_sector,sector,ald_demo,character,Sector to which the asset belongs
ald_sector,sector,scenario_demo_2020,character,The sector to which the scenario perscribes a pathway
technology,technology,ald_demo,character,Technology implemented by the asset
technology,technology,scenario_demo_2020,character,The technology within the sector to which the scenario perscribes a pathway
year,year,ald_demo,integer,Year at which the production value is predicted
year,year,scenario_demo_2020,integer,The year at which the pathway value is perscribed
id_name,NA,NA,NA,NA
ald_emission_factor_unit,NA,NA,NA,NA
scenario,NA,NA,NA,NA
sector,NA,NA,NA,NA
region,NA,NA,NA,NA
tmsr,NA,NA,NA,NA
smsp,NA,NA,NA,NA
