dataset,column,typeof,definition
abcd_demo,company_id,character,The id of the company owning the asset created by the data provider
abcd_demo,name_company,character,The name of the company owning the asset
abcd_demo,lei,character,The legal entity identifier of the company owning the asset
abcd_demo,sector,character,Sector to which the asset belongs
abcd_demo,technology,character,Technology implemented by the asset
abcd_demo,production_unit,character,The units that production is measured in
abcd_demo,year,integer,Year at which the production value is predicted
abcd_demo,production,double,Company level production of the technology
abcd_demo,emission_factor,double,Company level emission factor of the technology
abcd_demo,plant_location,character,Country where asset is located
abcd_demo,is_ultimate_owner,logical,Flag if company is the ultimate parent in our database
abcd_demo,emission_factor_unit,character,The units that the emission factor is measured in
