dataset,column,typeof,definition
ald_demo,name_company,character,The name of the company owning the asset
ald_demo,sector,character,Sector to which the asset belongs
ald_demo,technology,character,Technology implemented by the asset
ald_demo,production_unit,character,The units that production is measured in
ald_demo,year,integer,Year at which the production value is predicted
ald_demo,production,double,Company level production of the technology
ald_demo,emission_factor,double,Company level emission factor of the technology
ald_demo,country_of_domicile,character,Country where company is registered
ald_demo,plant_location,character,Country where asset is located
ald_demo,number_of_assets,integer,Number of assets of a given technology owned by the company
ald_demo,ald_timestamp,character,Date at which asset data was pulled from database
