sector,technology,green_or_brown
automotive,electric,green
automotive,hybrid,green
automotive,ice,brown
automotive,fuelcell,green
automotive,electric_hdv,green
automotive,hybrid_hdv,green
automotive,ice_hdv,brown
automotive,fuelcell_hdv,green
power,hydrocap,green
power,renewablescap,green
power,coalcap,brown
power,gascap,brown
power,oilcap,brown
power,nuclearcap,green
oil and gas,oil,brown
oil and gas,gas,brown
coal,coal,brown
fossil fuels,oil,brown
fossil fuels,gas,brown
fossil fuels,coal,brown
