"","code","description","sector","borderline"
"1","0","private households, exterritorial organisations, representatives of foreign governments and other activities not adequately defined","not in scope",FALSE
"2","00000","private households, exterritorial organisations, representatives of foreign governments and other activities not adequately defined","not in scope",FALSE
"3","11110","growing of cereals and other crops n.e.c.","not in scope",FALSE
"4","11130","growing of fruit, nuts, beverage and spice crops","not in scope",FALSE
"5","11210","farming  of cattle, sheep, goats, horses, asses, mules and hinnies;dairy farming","not in scope",FALSE
"6","11300","growing of crops combined with farming of animals (mixed farming)","not in scope",FALSE
"7","12100","forestry and related services","not in scope",FALSE
"8","12200","logging and related services","not in scope",FALSE
"9","13100","ocean and coastal fishing","not in scope",FALSE
"10","21000","mining of coal and lignite","coal",FALSE
"11","22110","extraction of crude petroleum and natural gas","oil and gas",FALSE
"12","22120","service activities incidental to oil and gas extraction, excluding surveying","oil and gas",FALSE
"13","23000","mining of gold and uranium ore","not in scope",FALSE
"14","24100","mining of iron ore","not in scope",FALSE
"15","24210","chrome","not in scope",FALSE
"16","24220","copper","not in scope",FALSE
"17","24240","platinum group metals","not in scope",FALSE
"18","24290","other metal ore mining, except gold and uranium","not in scope",FALSE
"19","25110","dimension stone (granite, marble, slate, and wonderstone)","not in scope",FALSE
"20","25120","limestone and limeworks","not in scope",FALSE
"21","25190","other stone quarrying, including stone crushing and clay and sandpits","not in scope",FALSE
"22","25200","mining of diamonds (including alluvial diamonds)","not in scope",FALSE
"23","25311","phosphates","not in scope",FALSE
"24","25319","other chemical and fertilizer mineral mining","not in scope",FALSE
"25","25399","other minerals and materials n.e.c.","not in scope",FALSE
"26","29000","service activities incidental to mining of minerals","not in scope",FALSE
"27","30111","slaughtering, dressing and packing of livestock, including poultry and small game for meat","not in scope",FALSE
"28","30120","manufacture of canned, preserved and processed fish, crustacea and similar foods (except soups)","not in scope",FALSE
"29","30130","manufacture of canned, preserved, processed and dehydrated fruit and vegetables (except soups), including fruit juices, juice extracts and potato flour meal","not in scope",FALSE
"30","30203","manufacture of ice cream and other edible ice, whether or not containing cream or chocolate","not in scope",FALSE
"31","30311","manufacture of flour and grain mill products, including rice and vegetable milling; grain mill residues","not in scope",FALSE
"32","30330","manufacture of prepared animal feeds","not in scope",FALSE
"33","30410","manufacture of bakery products","not in scope",FALSE
"34","30420","manufacture of sugar, including golden syrup and castor sugar","not in scope",FALSE
"35","30499","manufacture of spices, condiments, vinegar, yeast, egg products, soups and other food products n.e.c.","not in scope",FALSE
"36","30521","breweries, except sorghum beer breweries","not in scope",FALSE
"37","30522","sorghum beer breweries","not in scope",FALSE
"38","30530","manufacture of soft drinks; production of mineral waters","not in scope",FALSE
"39","30600","manufacture of tobacco products","not in scope",FALSE
"40","31111","preparatory activities in respect of animal fibres, including washing, combing and carding of wool","not in scope",FALSE
"41","31213","manufacture of automotive textile goods (including safety belts, and seat covers)","not in scope",FALSE
"42","31290","manufacture of other textiles n.e.c.","not in scope",FALSE
"43","31301","garment and hosiery knitting mills","not in scope",FALSE
"44","31700","manufacture of footwear","not in scope",FALSE
"45","32210","manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards","not in scope",FALSE
"46","32310","manufacture of pulp, paper and paperboard","not in scope",FALSE
"47","32321","manufacture of corrugated paper and paperboard","not in scope",FALSE
"48","32399","other paper products","not in scope",FALSE
"49","32410","publishing of books, brochures, musical books and other publications","not in scope",FALSE
"50","32420","publishing of newspapers, journals and periodicals","not in scope",FALSE
"51","32510","printing","not in scope",FALSE
"52","32520","service activities related to printing","not in scope",FALSE
"53","33210","petrol, fuel oils, lubricating oils and greases, primarily from crude oil","oil and gas",TRUE
"54","33220","petrol, fuel oils, lubricating oils and greases, primarily from coal","oil and gas",TRUE
"55","33230","petrol, fuel oils, lubricating oils and greases, primarily from natural gas","oil and gas",TRUE
"56","33290","other petroleum/synthesised products n.e.c.","oil and gas",TRUE
"57","33410","manufacture of basic chemicals, except fertilizers and nitrogen compounds","not in scope",FALSE
"58","33420","manufacture of fertilizers and nitrogen compounds","not in scope",FALSE
"59","33430","manufacture of plastics in primary form and of synthetic rubber","not in scope",FALSE
"60","33520","manufacture of paints, varnishes and similar coatings, printing ink and mastics","not in scope",FALSE
"61","33530","manufacture of pharmaceuticals, medicinal chemicals and botanical products","not in scope",FALSE
"62","33541","manufacture of soap and other cleaning compounds","not in scope",FALSE
"63","33542","manufacture of perfumes, cosmetics and other toilet preparations","not in scope",FALSE
"64","33593","manufacture of adhesives, glues, sizes and cements","not in scope",FALSE
"65","33599","manufacture of other chemical products n.e.c.","not in scope",FALSE
"66","33800","manufacture of plastic products","not in scope",FALSE
"67","34111","manufacture of sheet and plate glass, glass blocks, tubes and rods; glass fibres and glass wool","not in scope",FALSE
"68","34112","manufacture of glass containers; glass kitchenware and tableware; scientific and laboratory glassware, clock and watch glasses and other glass products n.e.c.","not in scope",FALSE
"69","34220","manufacture of refractory ceramic products","not in scope",FALSE
"70","34230","manufacture of structural non-refractory clay and ceramic products","not in scope",FALSE
"71","34240","manufacture of cement, lime and plaster","cement",TRUE
"72","34250","manufacture of articles of concrete, cement and plaster","cement",TRUE
"73","35101","basic iron and steel industries, except steel pipe and tube mills","steel",FALSE
"74","35102","steel pipe and tube mills","steel",FALSE
"75","35201","refining of precious metals, e.g. gold, silver, platinum","not in scope",FALSE
"76","35202","manufacture of primary non-ferrous metal products, excluding precious metals","not in scope",FALSE
"77","35310","casting of iron and steel","steel",TRUE
"78","35320","casting of non-ferrous metals","not in scope",FALSE
"79","35411","manufacture of metal structures or parts thereof","not in scope",FALSE
"80","35419","other structural metal products, e.g. metal doors, windows and gates","not in scope",FALSE
"81","35510","forging, pressing, stamping and roll-forming of metal; powder metallurgy","not in scope",FALSE
"82","35521","treating and coating of metals","not in scope",FALSE
"83","35522","general mechanical engineering on a fee or contract basis","not in scope",FALSE
"84","35591","manufacture of metal containers, e.g. cans and tins","not in scope",FALSE
"85","35592","manufacture of cables and wire products","not in scope",FALSE
"86","35594","manufacture of metal fasteners","not in scope",FALSE
"87","35599","manufacture of other metal products n.e.c.","not in scope",FALSE
"88","35620","manufacture of pumps, compressors, taps and valves","not in scope",FALSE
"89","35630","manufacture of bearings, gears, gearing and driving elements","not in scope",FALSE
"90","35650","manufacture of lifting and handling equipment","not in scope",FALSE
"91","35690","manufacture of other general purpose machinery","not in scope",FALSE
"92","35720","manufacture of machine tools","not in scope",FALSE
"93","35730","manufacture of machinery for metallurgy","not in scope",FALSE
"94","35740","manufacture of machinery for mining, quarrying and construction","not in scope",FALSE
"95","35750","manufacture of machinery for food, beverage and tobacco processing","not in scope",FALSE
"96","35770","manufacture of weapons and ammunition","not in scope",FALSE
"97","35790","manufacture of other special purpose machinery","not in scope",FALSE
"98","35800","manufacture of household appliances n.e.c.","not in scope",FALSE
"99","36100","manufacture of electric motors, generators and transformers","power",TRUE
"100","36200","manufacture of electricity distribution and control apparatus","power",TRUE
"101","36300","manufacture of insulated wire and cable","not in scope",FALSE
"102","36600","manufacture of other electrical equipment n.e.c.","not in scope",FALSE
"103","37100","manufacture of electronic valves and tubes and other electronic components","not in scope",FALSE
"104","37200","manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy","not in scope",FALSE
"105","37300","manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods","not in scope",FALSE
"106","37412","surgical, medical and dental supplies","not in scope",FALSE
"107","37420","manufacture of instruments and appliances for measuring, checking, testing, navigating and for other purposes, except industrial process control equipment","not in scope",FALSE
"108","38100","manufacture of motor vehicles","ldv",FALSE
"109","38200","manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","ldv",TRUE
"110","38301","manufacture of radiators","not in scope",FALSE
"111","38309","manufacture of other motor vehicle parts and accessories","ldv",TRUE
"112","38600","manufacture of aircraft and spacecraft","aviation",FALSE
"113","39101","manufacture of furniture made predominantly of metal","not in scope",FALSE
"114","39102","manufacture of furniture made predominantly of plastic materials","not in scope",FALSE
"115","39103","manufacture of furniture made predominantly of materials other than metal, plastic or concrete","not in scope",FALSE
"116","39212","diamond cutting and polishing","not in scope",FALSE
"117","39230","manufacture of sports goods","not in scope",FALSE
"118","39295","engraving","not in scope",FALSE
"119","39299","other industries not elsewhere classified, including rubber stamps, taxidermists, ostrich feathers, costume jewellery and novelties, umbrellas and canes","not in scope",FALSE
"120","39510","recycling of metal waste and scrap n.e.c.","not in scope",FALSE
"121","41111","generation","power",FALSE
"122","41200","manufacture of gas; distribution of gaseous fuels through mains","oil and gas",FALSE
"123","41300","steam and hot water supply","not in scope",FALSE
"124","42000","collection, purification and distribution of water","not in scope",FALSE
"125","50100","site preparation","not in scope",FALSE
"126","50211","construction of homes","not in scope",FALSE
"127","50219","construction of other buildings","not in scope",FALSE
"128","50220","construction of civil engineering structures","not in scope",FALSE
"129","50230","construction of other structures","not in scope",FALSE
"130","50240","construction by specialist trade contractors","not in scope",FALSE
"131","50320","electrical contracting","power",TRUE
"132","50410","painting and decorating","not in scope",FALSE
"133","50490","other building completion n.e.c.","not in scope",FALSE
"134","50500","renting of construction or demolition equipment with operators","not in scope",FALSE
"135","61101","sales by commission agents","not in scope",FALSE
"136","61102","sales by commodity brokers","not in scope",FALSE
"137","61103","sales by auctioneers","not in scope",FALSE
"138","61210","wholesale trade in agricultural raw materials and livestock","not in scope",FALSE
"139","61221","wholesale trade in foodstuffs","not in scope",FALSE
"140","61310","wholesale trade in textiles, clothing and footwear","not in scope",FALSE
"141","61391","wholesale trade in household furniture requisites and appliances","not in scope",FALSE
"142","61394","wholesale trade in pharmaceuticals, toiletries and medical equipment","not in scope",FALSE
"143","61399","wholesale trade in other household goods n.e.c","not in scope",FALSE
"144","61410","wholesale trade in solid, liquid and gaseous fuels and related products","not in scope",FALSE
"145","61420","wholesale trade in metal and metal ores","not in scope",FALSE
"146","61430","wholesale trade in construction materials, hardware, plumbing and heating equipment and supplies","not in scope",FALSE
"147","61490","wholesale trade in other intermediate products, waste and scrap","not in scope",FALSE
"148","61501","office machinery and equipment including computers","not in scope",FALSE
"149","61509","other machinery","not in scope",FALSE
"150","61901","general wholesale trade","not in scope",FALSE
"151","61909","other wholesale trade n.e.c.","not in scope",FALSE
"152","62110","retail trade in non-specialised stores with food, beverages and tobacco predominating","not in scope",FALSE
"153","62190","other retail trade in non-specialised stores","not in scope",FALSE
"154","62202","retail trade in meat and meat products","not in scope",FALSE
"155","62203","retail trade in bakery products","not in scope",FALSE
"156","62209","other retail trade in food, beverages and tobacco n.e.c.","not in scope",FALSE
