"ISIC Rev 5 Code","ISIC Rev 5 Title"
"A","Agriculture, forestry and fishing"
"01","Crop and animal production, hunting and related service activities"
"011","Growing of non-perennial crops"
"0111","Growing of cereals (except rice), leguminous crops and oil seeds"
"0112","Growing of rice"
"0113","Growing of vegetables and melons, roots and tubers"
"0114","Growing of sugar cane"
"0115","Growing of tobacco"
"0116","Growing of fibre crops"
"0119","Growing of other non-perennial crops"
"012","Growing of perennial crops"
"0121","Growing of grapes"
"0122","Growing of tropical and subtropical fruits"
"0123","Growing of citrus fruits"
"0124","Growing of pome fruits and stone fruits"
"0125","Growing of other tree and bush fruits and nuts"
"0126","Growing of oleaginous fruits"
"0127","Growing of beverage crops"
"0128","Growing of spices, aromatic, drug and pharmaceutical crops"
"0129","Growing of other perennial crops"
"013","Plant propagation"
"0130","Plant propagation"
"014","Animal production"
"0141","Raising of cattle and buffaloes"
"0142","Raising of horses and other equines"
"0143","Raising of camels and camelids"
"0144","Raising of sheep and goats"
"0145","Raising of swine and pigs"
"0146","Raising of poultry"
"0149","Raising of other animals"
"015","Mixed farming"
"0150","Mixed farming"
"016","Support activities to agriculture and post-harvest crop activities"
"0161","Support activities for crop production"
"0162","Support activities for animal production"
"0163","Post-harvest crop activities"
"0164","Seed processing for propagation"
"017","Hunting, trapping and related service activities"
"0170","Hunting, trapping and related service activities"
"02","Forestry and logging"
"021","Silviculture and other forestry activities"
"0210","Silviculture and other forestry activities"
"022","Logging"
"0220","Logging"
"023","Gathering of non-wood forest products"
"0230","Gathering of non-wood forest products"
"024","Support services to forestry"
"0240","Support services to forestry"
"03","Fishing and aquaculture"
"031","Fishing"
"0311","Marine fishing"
"0312","Freshwater fishing"
"032","Aquaculture"
"0321","Marine aquaculture"
"0322","Freshwater aquaculture"
"033","Support activities for fishing and aquaculture"
"0330","Support activities for fishing and aquaculture"
"B","Mining and quarrying"
"05","Mining of coal and lignite"
"051","Mining of hard coal"
"0510","Mining of hard coal"
"052","Mining of lignite"
"0520","Mining of lignite"
"06","Extraction of crude petroleum and natural gas"
"061","Extraction of crude petroleum"
"0610","Extraction of crude petroleum"
"062","Extraction of natural gas"
"0620","Extraction of natural gas"
"07","Mining of metal ores"
"071","Mining of iron ores"
"0710","Mining of iron ores"
"072","Mining of non-ferrous metal ores"
"0721","Mining of uranium and thorium ores"
"0729","Mining of other non-ferrous metal ores"
"08","Other mining and quarrying"
"081","Quarrying of stone, sand and clay"
"0810","Quarrying of stone, sand and clay"
"089","Mining and quarrying n.e.c."
"0891","Mining of chemical and fertilizer minerals"
"0892","Extraction of peat"
"0893","Extraction of salt"
"0899","Other mining and quarrying n.e.c."
"09","Mining support service activities"
"091","Support activities for petroleum and natural gas extraction"
"0910","Support activities for petroleum and natural gas extraction"
"099","Support activities for other mining and quarrying"
"0990","Support activities for other mining and quarrying"
"C","Manufacturing"
"10","Manufacture of food products"
"101","Processing and preserving of meat"
"1010","Processing and preserving of meat"
"102","Processing and preserving of fish, crustaceans and molluscs"
"1020","Processing and preserving of fish, crustaceans and molluscs"
"103","Processing and preserving of fruit and vegetables"
"1030","Processing and preserving of fruit and vegetables"
"104","Manufacture of vegetable and animal oils and fats"
"1040","Manufacture of vegetable and animal oils and fats"
"105","Manufacture of dairy products"
"1050","Manufacture of dairy products"
"106","Manufacture of grain mill products, starches and starch products"
"1061","Manufacture of grain mill products"
"1062","Manufacture of starches and starch products"
"107","Manufacture of other food products"
"1071","Manufacture of bakery products"
"1072","Manufacture of sugar"
"1073","Manufacture of cocoa, chocolate and sugar confectionery"
"1074","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"1075","Manufacture of prepared meals and dishes"
"1076","Processing of coffee and tea"
"1079","Manufacture of other food products n.e.c."
"108","Manufacture of prepared animal feeds"
"1080","Manufacture of prepared animal feeds"
"11","Manufacture of beverages"
"110","Manufacture of beverages"
"1101","Distilling, rectifying and blending of spirits"
"1102","Manufacture of wines"
"1103","Manufacture of beer"
"1104","Manufacture of malt"
"1105","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"12","Manufacture of tobacco products"
"120","Manufacture of tobacco products"
"1200","Manufacture of tobacco products"
"13","Manufacture of textiles"
"131","Spinning, weaving and finishing of textiles"
"1311","Preparation and spinning of textile fibres"
"1312","Weaving of textiles"
"1313","Finishing of textiles"
"139","Manufacture of other textiles"
"1391","Manufacture of knitted and crocheted fabrics"
"1392","Manufacture of made-up textile articles, except apparel"
"1393","Manufacture of carpets and rugs"
"1394","Manufacture of cordage, rope, twine and netting"
"1399","Manufacture of other textiles n.e.c."
"14","Manufacture of wearing apparel"
"141","Manufacture of wearing apparel, except fur apparel"
"1410","Manufacture of wearing apparel, except fur apparel"
"142","Manufacture of articles of fur"
"1420","Manufacture of articles of fur"
"143","Manufacture of knitted and crocheted apparel"
"1430","Manufacture of knitted and crocheted apparel"
"15","Manufacture of leather and related products"
"151","Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness"
"1511","Tanning and dressing of leather; dressing and dyeing of fur"
"1512","Manufacture of luggage, handbags and the like, saddlery and harness of any material"
"152","Manufacture of footwear"
"1520","Manufacture of footwear"
"16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"161","Sawmilling and planing of wood"
"1610","Sawmilling and planing of wood"
"162","Manufacture of products of wood, cork, straw and plaiting materials"
"1621","Manufacture of veneer sheets and wood-based panels"
"1622","Manufacture of builders' carpentry and joinery"
"1623","Manufacture of wooden containers"
"1629","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"17","Manufacture of paper and paper products"
"170","Manufacture of paper and paper products"
"1701","Manufacture of pulp, paper and paperboard"
"1702","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"1709","Manufacture of other articles of paper and paperboard"
"18","Printing and reproduction of recorded media"
"181","Printing and service activities related to printing"
"1811","Printing"
"1812","Service activities related to printing"
"182","Reproduction of recorded media"
"1820","Reproduction of recorded media"
"19","Manufacture of coke and refined petroleum products"
"191","Manufacture of coke oven products"
"1910","Manufacture of coke oven products"
"192","Manufacture of refined petroleum products; manufacture of fossil fuel products"
"1920","Manufacture of refined petroleum products; manufacture of fossil fuel products"
"20","Manufacture of chemicals and chemical products"
"201","Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"2011","Manufacture of basic chemicals"
"2012","Manufacture of fertilizers and nitrogen compounds"
"2013","Manufacture of plastics and synthetic rubber in primary forms"
"202","Manufacture of other chemical products"
"2021","Manufacture of pesticides and other agrochemical products"
"2022","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"2023","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"2029","Manufacture of other chemical products n.e.c."
"203","Manufacture of man-made fibres"
"2030","Manufacture of man-made fibres"
"21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"210","Manufacture of pharmaceuticals, medicinal chemical and botanical products"
