"","original_code","code","code_level","sector","borderline"
"1","A","A",1,"ldv",FALSE
"2","1","10",2,"ldv",FALSE
"3","1.1","110",3,"ldv",FALSE
"4","1.11","1110",4,"ldv",FALSE
"5","1.12","1120",4,"ldv",FALSE
"6","1.13","1130",4,"ldv",FALSE
"7","1.14","1140",4,"ldv",FALSE
"8","1.15","1150",4,"ldv",FALSE
"9","1.16","1160",4,"ldv",FALSE
"10","1.19","1190",4,"ldv",FALSE
"11","1.2","120",3,"ldv",FALSE
"12","1.21","1210",4,"ldv",FALSE
"13","1.22","1220",4,"ldv",FALSE
"14","1.23","1230",4,"ldv",FALSE
"15","1.24","1240",4,"ldv",FALSE
"16","1.25","1250",4,"ldv",FALSE
"17","1.26","1260",4,"ldv",FALSE
"18","1.27","1270",4,"ldv",FALSE
"19","1.28","1280",4,"ldv",FALSE
"20","1.29","1290",4,"ldv",FALSE
"21","1.3","130",3,"ldv",FALSE
"22","1.3","1300",4,"ldv",FALSE
"23","1.4","140",3,"ldv",FALSE
"24","1.41","1410",4,"ldv",FALSE
"25","1.42","1420",4,"ldv",FALSE
"26","1.43","1430",4,"ldv",FALSE
"27","1.44","1440",4,"ldv",FALSE
"28","1.45","1450",4,"ldv",FALSE
"29","1.46","1460",4,"ldv",FALSE
"30","1.47","1470",4,"ldv",FALSE
"31","1.49","1490",4,"ldv",FALSE
"32","1.5","150",3,"ldv",FALSE
"33","1.5","1500",4,"ldv",FALSE
"34","1.6","160",3,"ldv",FALSE
"35","1.61","1610",4,"ldv",FALSE
"36","1.62","1620",4,"ldv",FALSE
"37","1.63","1630",4,"ldv",FALSE
"38","1.64","1640",4,"ldv",FALSE
"39","1.7","170",3,"ldv",FALSE
"40","1.7","1700",4,"ldv",FALSE
"41","2","20",2,"ldv",FALSE
"42","2.1","210",3,"ldv",FALSE
"43","2.1","2100",4,"ldv",FALSE
"44","2.2","220",3,"ldv",FALSE
"45","2.2","2200",4,"ldv",FALSE
"46","2.3","230",3,"ldv",FALSE
"47","2.3","2300",4,"ldv",FALSE
"48","2.4","240",3,"ldv",FALSE
"49","2.4","2400",4,"ldv",FALSE
"50","3","30",2,"ldv",FALSE
"51","3.1","310",3,"ldv",FALSE
"52","3.11","3110",4,"ldv",FALSE
"53","3.12","3120",4,"ldv",FALSE
"54","3.2","320",3,"ldv",FALSE
"55","3.21","3210",4,"ldv",FALSE
"56","3.22","3220",4,"ldv",FALSE
"57","B","B",1,"ldv",FALSE
"58","5","50",2,"ldv",FALSE
"59","5.1","510",3,"ldv",FALSE
"60","5.1","5100",4,"ldv",FALSE
"61","5.2","520",3,"ldv",FALSE
"62","5.2","5200",4,"ldv",FALSE
"63","6","60",2,"ldv",FALSE
"64","6.1","610",3,"ldv",FALSE
"65","6.1","6100",4,"ldv",FALSE
"66","6.2","620",3,"ldv",FALSE
"67","6.2","6200",4,"ldv",FALSE
"68","7","70",2,"ldv",FALSE
"69","7.1","710",3,"ldv",FALSE
"70","7.1","7100",4,"ldv",FALSE
"71","7.2","720",3,"ldv",FALSE
"72","7.21","7210",4,"ldv",FALSE
"73","7.29","7290",4,"ldv",FALSE
"74","8","80",2,"ldv",FALSE
"75","8.1","810",3,"ldv",FALSE
"76","8.11","8110",4,"ldv",FALSE
"77","8.12","8120",4,"ldv",FALSE
"78","8.9","890",3,"ldv",FALSE
"79","8.91","8910",4,"ldv",FALSE
"80","8.92","8920",4,"ldv",FALSE
"81","8.93","8930",4,"ldv",FALSE
