"","original_code","code_level","code","sector","borderline"
"1","Growing of leguminous crops such as: mongo, string beans (sitao), pigeon peas, gisantes, garbanzos, bountiful beans (habichuelas), peas (sitsaro)",5,1111,"not in scope",FALSE
"2","Growing of ground nuts",5,1112,"not in scope",FALSE
"3","Growing of oil seeds (except ground nuts) such as soya beans, sunflower and growing of other oil seeds,  n.e.c.",5,1113,"not in scope",FALSE
"4","Growing of  sorghum, wheat",5,1114,"not in scope",FALSE
"5","Growing of other cereals (except rice and corn), leguminous crops and oil seeds, n.e.c.",5,1119,"not in scope",FALSE
"6","Growing of paddy rice, lowland, irrigated",5,1121,"not in scope",FALSE
"7","Growing of paddy rice, lowland, rainfed",5,1122,"not in scope",FALSE
"8","Growing of paddy rice, upland/kaingin",5,1123,"not in scope",FALSE
"9","Growing of corn, expcept young corn (vegetable)",5,1130,"not in scope",FALSE
"10","Growing of sugarcane including muscovado sugar-making in the farm",5,1140,"not in scope",FALSE
"11","Growing of virginia tobacco including flue-curing done in the farm",5,1151,"not in scope",FALSE
"12","Growing of native tobacco including flue-curing done in the farm",5,1152,"not in scope",FALSE
"13","Growing of abaca",5,1161,"not in scope",FALSE
"14","Growing of cotton",5,1162,"not in scope",FALSE
"15","Growing of kapok",5,1163,"not in scope",FALSE
"16","Growing of maguey",5,1164,"not in scope",FALSE
"17","Growing of ramie",5,1165,"not in scope",FALSE
"18","Growing of piña",5,1166,"not in scope",FALSE
"19","Growing of jute",5,1167,"not in scope",FALSE
"20","Growing of kenaf",5,1168,"not in scope",FALSE
"21","Growing of other fiber crops, n.e.c.",5,1169,"not in scope",FALSE
"22","Growing of leafy and stem vegetables such as : cabbage, broccoli, cauliflower, lettuce, asparagus, pechay, kangkong and other leafy or stem vegetables",5,1171,"not in scope",FALSE
"23","Growing of fruit bearing vegetables such as: tomato, eggplant, cucumber, amplaya, squash, gourd and other fruit bearing vegetables, n.e.c.",5,1172,"not in scope",FALSE
"24","Growing of other leafy and fruit bearing vegetables, n.e.c.",5,1179,"not in scope",FALSE
"25","Growing of onion",5,1181,"not in scope",FALSE
"26","Growing of garlic",5,1182,"not in scope",FALSE
"27","Growing of carrot",5,1183,"not in scope",FALSE
"28","Growing of  potato",5,1184,"not in scope",FALSE
"29","Growing of  cassava",5,1185,"not in scope",FALSE
"30","Growing of sweet potato(camote)",5,1186,"not in scope",FALSE
"31","Growing of  melons and watermelons",5,1187,"not in scope",FALSE
"32","Growing of yams (ube)",5,1188,"not in scope",FALSE
"33","Growing of other  roots, bulbs, tuberous crops and vegetables",5,1189,"not in scope",FALSE
"34","Growing of orchids",5,1191,"not in scope",FALSE
"35","Growing of flowers or flower buds, (except orchids)",5,1192,"not in scope",FALSE
"36","Production or growing of horticultural specialties and nursery products",5,1193,"not in scope",FALSE
"37","Growing of plant materials used chiefly in medicinal/ pharmaceutical or for insecticidal, fungicidal or similar purposes",5,1194,"not in scope",FALSE
"38","Growing of crops chiefly for construction purposes (e.g., nipa, bamboo, buri, etc.)",5,1195,"not in scope",FALSE
"39","Growing of forage crops and other grasses",5,1196,"not in scope",FALSE
"40","Growing of other non-perennial crops, n.e.c.",5,1199,"not in scope",FALSE
"41","Growing of banana, cavendish",5,1211,"not in scope",FALSE
"42","Growing of other banana",5,1212,"not in scope",FALSE
"43","Growing of pineapple",5,1220,"not in scope",FALSE
"44","Growing of calamansi",5,1231,"not in scope",FALSE
"45","Growing of  dalandan",5,1232,"not in scope",FALSE
"46","Growing of mandarin (dalanghita)",5,1233,"not in scope",FALSE
"47","Growing of pomelo (suha)",5,1234,"not in scope",FALSE
"48","Growing of citrus fruits, n.e.c.",5,1235,"not in scope",FALSE
"49","Growing of mango",5,1230,"not in scope",FALSE
"50","Growing of  papaya",5,1250,"not in scope",FALSE
"51","Growing of coconut, including copra-making, tuba gathering and coco-shell charcoal making in the farm",5,1260,"not in scope",FALSE
"52","Growing of coffee",5,1271,"not in scope",FALSE
"53","Growing of cocoa",5,1272,"not in scope",FALSE
"54","Growing of tea",5,1273,"not in scope",FALSE
"55","Growing of other beverage crops",5,1279,"not in scope",FALSE
"56","Growing of perrenial spices and aromatic crops such as: ginger, pepper,  chile, achuete, laurel, etc.",5,1281,"not in scope",FALSE
"57","Growing of plants used primarily  in medical/ pharmaceutical purposes such as : lagundi, banaba, ginseng, oregano, etc.",5,1282,"not in scope",FALSE
"58","Growing of plants for insecticidal, fungicidal or similar purposes",5,1283,"not in scope",FALSE
"59","Growing of crops used primarily in perfumery or similar purposes",5,1284,"not in scope",FALSE
"60","Growing of other spices, aromatic, drug and pharmaceutical crops, n.e.c.",5,1289,"not in scope",FALSE
"61","Growing of  other  tropical fruits, e.g. jackfruit, guavas, avocados, lanzones, durian, rambutan, chico, atis, mangosteen, makopa, etc.",5,1291,"not in scope",FALSE
"62","Growing of perennial trees with edible  nuts, e.g. pili nuts, cashew nuts, etc",5,1292,"not in scope",FALSE
"63","Growing of  rubber tree",5,1293,"not in scope",FALSE
"64","Growing of jathropa tree",5,1294,"not in scope",FALSE
"65","Growing of  ornamental or decorative trees such as Christmas or pine trees, fire trees, etc.",5,1295,"not in scope",FALSE
"66","Growing of other fruits and perennial crops, n.e.c.",5,1299,"not in scope",FALSE
"67","Plant propagation",5,1300,"not in scope",FALSE
"68","Beef cattle farming (including feed lot fattening)",5,1411,"not in scope",FALSE
"69","Carabao farming",5,1412,"not in scope",FALSE
"70","Raising of horses and other equines",5,1420,"not in scope",FALSE
"71","Dairy farming",5,1430,"not in scope",FALSE
"72","Sheep farming including sheep shearing by the owner",5,1441,"not in scope",FALSE
"73","Goat farming",5,1442,"not in scope",FALSE
