source,isos,region
geco_2023,ru,russia
geco_2023,al,other balkan
geco_2023,ba,other balkan
geco_2023,rs,other balkan
geco_2023,mk,other balkan
geco_2023,md,other balkan
geco_2023,me,other balkan
geco_2023,rs,other balkan
geco_2023,am,other cis
geco_2023,az,other cis
geco_2023,by,other cis
geco_2023,ge,other cis
geco_2023,kz,other cis
geco_2023,kg,other cis
geco_2023,tj,other cis
geco_2023,tm,other cis
geco_2023,uz,other cis
geco_2023,ua,ukraine
geco_2023,ar,argentina
geco_2023,br,brazil
geco_2023,ca,canada
geco_2023,cl,chile
geco_2023,mx,mexico
geco_2023,us,us
geco_2023,bs,rest central america
geco_2023,bb,rest central america
geco_2023,bz,rest central america
geco_2023,bm,rest central america
geco_2023,cr,rest central america
geco_2023,cu,rest central america
geco_2023,dm,rest central america
geco_2023,do,rest central america
geco_2023,sv,rest central america
geco_2023,gd,rest central america
geco_2023,gt,rest central america
geco_2023,ht,rest central america
geco_2023,hn,rest central america
geco_2023,jm,rest central america
geco_2023,ni,rest central america
geco_2023,aw,rest central america
geco_2023,pa,rest central america
geco_2023,st,rest central america
geco_2023,lc,rest central america
geco_2023,vc,rest central america
geco_2023,tt,rest central america
geco_2023,bo,rest south america
geco_2023,co,rest south america
geco_2023,ec,rest south america
geco_2023,gy,rest south america
geco_2023,py,rest south america
geco_2023,pe,rest south america
geco_2023,sr,rest south america
geco_2023,uy,rest south america
geco_2023,ve,rest south america
geco_2023,eg,egypt
geco_2023,dz,algeria & libya
geco_2023,ly,algeria & libya
geco_2023,ma,morocco & tunisia
geco_2023,tn,morocco & tunisia
geco_2023,za,south africa
geco_2023,bf,rest sub saharan africa
geco_2023,bi,rest sub saharan africa
geco_2023,cm,rest sub saharan africa
geco_2023,cv,rest sub saharan africa
geco_2023,cf,rest sub saharan africa
geco_2023,td,rest sub saharan africa
geco_2023,km,rest sub saharan africa
geco_2023,cg,rest sub saharan africa
geco_2023,cd,rest sub saharan africa
geco_2023,ci,rest sub saharan africa
