region,isos,source
global,bg,isf_2023
global,hr,isf_2023
global,cy,isf_2023
global,mt,isf_2023
global,ro,isf_2023
global,au,isf_2023
global,at,isf_2023
global,be,isf_2023
global,ca,isf_2023
global,cl,isf_2023
global,cz,isf_2023
global,dk,isf_2023
global,ee,isf_2023
global,fi,isf_2023
global,fr,isf_2023
global,de,isf_2023
global,gr,isf_2023
global,hu,isf_2023
global,is,isf_2023
global,ie,isf_2023
global,il,isf_2023
global,it,isf_2023
global,jp,isf_2023
global,kp,isf_2023
global,lv,isf_2023
global,lt,isf_2023
global,lu,isf_2023
global,mx,isf_2023
global,nl,isf_2023
global,nz,isf_2023
global,no,isf_2023
global,pl,isf_2023
global,pt,isf_2023
global,sk,isf_2023
global,si,isf_2023
global,es,isf_2023
global,se,isf_2023
global,ch,isf_2023
global,tr,isf_2023
global,gb,isf_2023
global,us,isf_2023
global,dz,isf_2023
global,eg,isf_2023
global,ly,isf_2023
global,ma,isf_2023
global,tn,isf_2023
global,ao,isf_2023
global,bj,isf_2023
global,bw,isf_2023
global,cm,isf_2023
global,cg,isf_2023
global,ci,isf_2023
global,cd,isf_2023
global,er,isf_2023
global,et,isf_2023
global,ga,isf_2023
global,gh,isf_2023
global,ke,isf_2023
global,mu,isf_2023
global,mz,isf_2023
global,na,isf_2023
global,ne,isf_2023
global,ng,isf_2023
global,sn,isf_2023
global,za,isf_2023
global,ss,isf_2023
global,sd,isf_2023
global,tz,isf_2023
global,tg,isf_2023
global,zm,isf_2023
global,zw,isf_2023
global,bd,isf_2023
global,cn,isf_2023
global,in,isf_2023
global,mn,isf_2023
global,np,isf_2023
global,pk,isf_2023
global,lk,isf_2023
global,tw,isf_2023
global,bn,isf_2023
global,kh,isf_2023
global,id,isf_2023
global,la,isf_2023
global,my,isf_2023
global,mm,isf_2023
global,ph,isf_2023
global,sg,isf_2023
global,th,isf_2023
global,vn,isf_2023
global,af,isf_2023
global,bt,isf_2023
global,ck,isf_2023
global,fj,isf_2023
global,pf,isf_2023
global,ki,isf_2023
global,mo,isf_2023
global,mv,isf_2023
global,nc,isf_2023
global,pw,isf_2023
global,pg,isf_2023
global,ws,isf_2023
global,sb,isf_2023
global,tl,isf_2023
global,to,isf_2023
global,vu,isf_2023
global,am,isf_2023
global,az,isf_2023
global,ge,isf_2023
global,kz,isf_2023
global,kg,isf_2023
global,tj,isf_2023
global,tm,isf_2023
global,uz,isf_2023
global,ar,isf_2023
global,bo,isf_2023
global,br,isf_2023
global,co,isf_2023
global,cr,isf_2023
global,cu,isf_2023
global,cw,isf_2023
global,do,isf_2023
global,ec,isf_2023
global,sv,isf_2023
global,gt,isf_2023
global,ht,isf_2023
global,hn,isf_2023
global,jm,isf_2023
global,ni,isf_2023
global,pa,isf_2023
global,py,isf_2023
global,pe,isf_2023
global,sr,isf_2023
global,tt,isf_2023
global,uy,isf_2023
global,ve,isf_2023
global,ai,isf_2023
global,ag,isf_2023
global,aw,isf_2023
global,bs,isf_2023
global,bb,isf_2023
global,bz,isf_2023
global,bm,isf_2023
global,bq,isf_2023
global,vg,isf_2023
global,ky,isf_2023
global,dm,isf_2023
global,fk,isf_2023
global,gf,isf_2023
global,gd,isf_2023
global,gp,isf_2023
global,gy,isf_2023
global,mq,isf_2023
global,ms,isf_2023
global,lc,isf_2023
global,pm,isf_2023
global,vc,isf_2023
global,mf,isf_2023
global,tc,isf_2023
global,hk,isf_2023
global,ru,isf_2023
global,al,isf_2023
global,by,isf_2023
global,ba,isf_2023
global,mk,isf_2023
global,gi,isf_2023
global,xk,isf_2023
global,me,isf_2023
global,rs,isf_2023
global,md,isf_2023
global,ua,isf_2023
