region,value,type,source
global,bg,country_name,nze_2021
global,hr,country_name,nze_2021
global,cy,country_name,nze_2021
global,mt,country_name,nze_2021
global,ro,country_name,nze_2021
global,au,country_name,nze_2021
global,at,country_name,nze_2021
global,be,country_name,nze_2021
global,ca,country_name,nze_2021
global,cl,country_name,nze_2021
global,cz,country_name,nze_2021
global,dk,country_name,nze_2021
global,ee,country_name,nze_2021
global,fi,country_name,nze_2021
global,fr,country_name,nze_2021
global,de,country_name,nze_2021
global,gr,country_name,nze_2021
global,hu,country_name,nze_2021
global,is,country_name,nze_2021
global,ie,country_name,nze_2021
global,il,country_name,nze_2021
global,it,country_name,nze_2021
global,jp,country_name,nze_2021
global,kp,country_name,nze_2021
global,lv,country_name,nze_2021
global,lt,country_name,nze_2021
global,lu,country_name,nze_2021
global,mx,country_name,nze_2021
global,nl,country_name,nze_2021
global,nz,country_name,nze_2021
global,no,country_name,nze_2021
global,pl,country_name,nze_2021
global,pt,country_name,nze_2021
global,sk,country_name,nze_2021
global,si,country_name,nze_2021
global,es,country_name,nze_2021
global,se,country_name,nze_2021
global,ch,country_name,nze_2021
global,tr,country_name,nze_2021
global,gb,country_name,nze_2021
global,us,country_name,nze_2021
global,dz,country_name,nze_2021
global,eg,country_name,nze_2021
global,ly,country_name,nze_2021
global,ma,country_name,nze_2021
global,tn,country_name,nze_2021
global,ao,country_name,nze_2021
global,bj,country_name,nze_2021
global,bw,country_name,nze_2021
global,cm,country_name,nze_2021
global,cg,country_name,nze_2021
global,ci,country_name,nze_2021
global,cd,country_name,nze_2021
global,er,country_name,nze_2021
global,et,country_name,nze_2021
global,ga,country_name,nze_2021
global,gh,country_name,nze_2021
global,ke,country_name,nze_2021
global,mu,country_name,nze_2021
global,mz,country_name,nze_2021
global,na,country_name,nze_2021
global,ne,country_name,nze_2021
global,ng,country_name,nze_2021
global,sn,country_name,nze_2021
global,za,country_name,nze_2021
global,ss,country_name,nze_2021
global,sd,country_name,nze_2021
global,tz,country_name,nze_2021
global,tg,country_name,nze_2021
global,zm,country_name,nze_2021
global,zw,country_name,nze_2021
global,bd,country_name,nze_2021
global,cn,country_name,nze_2021
global,in,country_name,nze_2021
global,mn,country_name,nze_2021
global,np,country_name,nze_2021
global,pk,country_name,nze_2021
global,lk,country_name,nze_2021
global,tw,country_name,nze_2021
global,bn,country_name,nze_2021
global,kh,country_name,nze_2021
global,id,country_name,nze_2021
global,la,country_name,nze_2021
global,my,country_name,nze_2021
global,mm,country_name,nze_2021
global,ph,country_name,nze_2021
global,sg,country_name,nze_2021
global,th,country_name,nze_2021
global,vn,country_name,nze_2021
global,af,country_name,nze_2021
global,bt,country_name,nze_2021
global,ck,country_name,nze_2021
global,fj,country_name,nze_2021
global,pf,country_name,nze_2021
global,ki,country_name,nze_2021
global,mo,country_name,nze_2021
global,mv,country_name,nze_2021
global,nc,country_name,nze_2021
global,pw,country_name,nze_2021
global,pg,country_name,nze_2021
global,ws,country_name,nze_2021
global,sb,country_name,nze_2021
global,tl,country_name,nze_2021
global,to,country_name,nze_2021
global,vu,country_name,nze_2021
global,am,country_name,nze_2021
global,az,country_name,nze_2021
global,ge,country_name,nze_2021
global,kz,country_name,nze_2021
global,kg,country_name,nze_2021
global,tj,country_name,nze_2021
global,tm,country_name,nze_2021
global,uz,country_name,nze_2021
global,ar,country_name,nze_2021
global,bo,country_name,nze_2021
global,br,country_name,nze_2021
global,co,country_name,nze_2021
global,cr,country_name,nze_2021
global,cu,country_name,nze_2021
global,cw,country_name,nze_2021
global,do,country_name,nze_2021
global,ec,country_name,nze_2021
global,sv,country_name,nze_2021
global,gt,country_name,nze_2021
global,ht,country_name,nze_2021
global,hn,country_name,nze_2021
global,jm,country_name,nze_2021
global,ni,country_name,nze_2021
global,pa,country_name,nze_2021
global,py,country_name,nze_2021
global,pe,country_name,nze_2021
global,sr,country_name,nze_2021
global,tt,country_name,nze_2021
global,uy,country_name,nze_2021
global,ve,country_name,nze_2021
global,ai,country_name,nze_2021
global,ag,country_name,nze_2021
global,aw,country_name,nze_2021
global,bs,country_name,nze_2021
global,bb,country_name,nze_2021
global,bz,country_name,nze_2021
global,bm,country_name,nze_2021
global,bq,country_name,nze_2021
global,vg,country_name,nze_2021
global,ky,country_name,nze_2021
global,dm,country_name,nze_2021
global,fk,country_name,nze_2021
global,gf,country_name,nze_2021
global,gd,country_name,nze_2021
global,gp,country_name,nze_2021
global,gy,country_name,nze_2021
global,mq,country_name,nze_2021
global,ms,country_name,nze_2021
global,lc,country_name,nze_2021
global,pm,country_name,nze_2021
global,vc,country_name,nze_2021
global,mf,country_name,nze_2021
global,tc,country_name,nze_2021
global,hk,country_name,nze_2021
global,ru,country_name,nze_2021
global,al,country_name,nze_2021
global,by,country_name,nze_2021
global,ba,country_name,nze_2021
global,mk,country_name,nze_2021
global,gi,country_name,nze_2021
global,xk,country_name,nze_2021
global,me,country_name,nze_2021
global,rs,country_name,nze_2021
global,md,country_name,nze_2021
global,ua,country_name,nze_2021
global,bh,country_name,nze_2021
global,ir,country_name,nze_2021
global,iq,country_name,nze_2021
global,jo,country_name,nze_2021
global,kw,country_name,nze_2021
global,lb,country_name,nze_2021
global,om,country_name,nze_2021
global,qa,country_name,nze_2021
global,sa,country_name,nze_2021
global,sy,country_name,nze_2021
global,ae,country_name,nze_2021
global,ye,country_name,nze_2021
global,gq,country_name,nze_2021
global,bf,country_name,nze_2021
global,bi,country_name,nze_2021
global,cv,country_name,nze_2021
global,cf,country_name,nze_2021
global,td,country_name,nze_2021
global,km,country_name,nze_2021
global,dj,country_name,nze_2021
global,gm,country_name,nze_2021
global,gn,country_name,nze_2021
global,gw,country_name,nze_2021
global,ls,country_name,nze_2021
global,lr,country_name,nze_2021
global,mg,country_name,nze_2021
global,mw,country_name,nze_2021
global,ml,country_name,nze_2021
global,mr,country_name,nze_2021
global,re,country_name,nze_2021
global,rw,country_name,nze_2021
global,st,country_name,nze_2021
global,sc,country_name,nze_2021
global,sl,country_name,nze_2021
global,so,country_name,nze_2021
global,ug,country_name,nze_2021
global,ad,country_name,nze_2021
global,as,country_name,nze_2021
global,bl,country_name,nze_2021
global,fm,country_name,nze_2021
global,fo,country_name,nze_2021
global,gg,country_name,nze_2021
global,gl,country_name,nze_2021
global,gu,country_name,nze_2021
global,im,country_name,nze_2021
global,je,country_name,nze_2021
global,kn,country_name,nze_2021
global,kr,country_name,nze_2021
global,mh,country_name,nze_2021
global,mp,country_name,nze_2021
global,nr,country_name,nze_2021
global,pr,country_name,nze_2021
global,sh,country_name,nze_2021
global,sm,country_name,nze_2021
global,sx,country_name,nze_2021
global,sz,country_name,nze_2021
global,tv,country_name,nze_2021
global,vi,country_name,nze_2021
global,wf,country_name,nze_2021
global,yt,country_name,nze_2021
