region,value,type,source
advanced economies,bg,country_name,weo_2020
advanced economies,hr,country_name,weo_2020
advanced economies,cy,country_name,weo_2020
advanced economies,mt,country_name,weo_2020
advanced economies,ro,country_name,weo_2020
advanced economies,au,country_name,weo_2020
advanced economies,at,country_name,weo_2020
advanced economies,be,country_name,weo_2020
advanced economies,ca,country_name,weo_2020
advanced economies,cl,country_name,weo_2020
advanced economies,cz,country_name,weo_2020
advanced economies,dk,country_name,weo_2020
advanced economies,ee,country_name,weo_2020
advanced economies,fi,country_name,weo_2020
advanced economies,fr,country_name,weo_2020
advanced economies,de,country_name,weo_2020
advanced economies,gr,country_name,weo_2020
advanced economies,hu,country_name,weo_2020
advanced economies,is,country_name,weo_2020
advanced economies,ie,country_name,weo_2020
advanced economies,il,country_name,weo_2020
advanced economies,it,country_name,weo_2020
advanced economies,jp,country_name,weo_2020
advanced economies,kp,country_name,weo_2020
advanced economies,lv,country_name,weo_2020
advanced economies,lt,country_name,weo_2020
advanced economies,lu,country_name,weo_2020
advanced economies,mx,country_name,weo_2020
advanced economies,nl,country_name,weo_2020
advanced economies,nz,country_name,weo_2020
advanced economies,no,country_name,weo_2020
advanced economies,pl,country_name,weo_2020
advanced economies,pt,country_name,weo_2020
advanced economies,sk,country_name,weo_2020
advanced economies,si,country_name,weo_2020
advanced economies,es,country_name,weo_2020
advanced economies,se,country_name,weo_2020
advanced economies,ch,country_name,weo_2020
advanced economies,tr,country_name,weo_2020
advanced economies,gb,country_name,weo_2020
advanced economies,us,country_name,weo_2020
africa,dz,country_name,weo_2020
africa,eg,country_name,weo_2020
africa,ly,country_name,weo_2020
africa,ma,country_name,weo_2020
africa,tn,country_name,weo_2020
africa,ao,country_name,weo_2020
africa,bj,country_name,weo_2020
africa,bw,country_name,weo_2020
africa,cm,country_name,weo_2020
africa,cg,country_name,weo_2020
africa,ci,country_name,weo_2020
africa,cd,country_name,weo_2020
africa,er,country_name,weo_2020
africa,et,country_name,weo_2020
africa,ga,country_name,weo_2020
africa,gh,country_name,weo_2020
africa,ke,country_name,weo_2020
africa,mu,country_name,weo_2020
africa,mz,country_name,weo_2020
