region,isos,source
advanced economies,bg,weo_2023
advanced economies,hr,weo_2023
advanced economies,cy,weo_2023
advanced economies,mt,weo_2023
advanced economies,ro,weo_2023
advanced economies,au,weo_2023
advanced economies,at,weo_2023
advanced economies,be,weo_2023
advanced economies,ca,weo_2023
advanced economies,cl,weo_2023
advanced economies,co,weo_2023
advanced economies,cr,weo_2023
advanced economies,cz,weo_2023
advanced economies,dk,weo_2023
advanced economies,ee,weo_2023
advanced economies,fi,weo_2023
advanced economies,fr,weo_2023
advanced economies,de,weo_2023
advanced economies,gr,weo_2023
advanced economies,hu,weo_2023
advanced economies,is,weo_2023
advanced economies,ie,weo_2023
advanced economies,il,weo_2023
advanced economies,it,weo_2023
advanced economies,jp,weo_2023
advanced economies,kp,weo_2023
advanced economies,lv,weo_2023
advanced economies,lt,weo_2023
advanced economies,lu,weo_2023
advanced economies,mx,weo_2023
advanced economies,nl,weo_2023
advanced economies,nz,weo_2023
advanced economies,no,weo_2023
advanced economies,pl,weo_2023
advanced economies,pt,weo_2023
advanced economies,sk,weo_2023
advanced economies,si,weo_2023
advanced economies,es,weo_2023
advanced economies,se,weo_2023
advanced economies,ch,weo_2023
advanced economies,tr,weo_2023
advanced economies,gb,weo_2023
advanced economies,us,weo_2023
africa,dz,weo_2023
africa,eg,weo_2023
africa,ly,weo_2023
africa,ma,weo_2023
africa,tn,weo_2023
africa,ao,weo_2023
africa,bj,weo_2023
africa,bw,weo_2023
africa,cm,weo_2023
africa,cg,weo_2023
africa,ci,weo_2023
africa,cd,weo_2023
africa,er,weo_2023
africa,et,weo_2023
africa,ga,weo_2023
africa,gh,weo_2023
africa,ke,weo_2023
africa,mu,weo_2023
africa,mz,weo_2023
africa,na,weo_2023
africa,ne,weo_2023
africa,ng,weo_2023
africa,sn,weo_2023
africa,za,weo_2023
africa,ss,weo_2023
africa,sd,weo_2023
africa,tz,weo_2023
africa,tg,weo_2023
africa,zm,weo_2023
africa,zw,weo_2023
asia pacific,au,weo_2023
asia pacific,bd,weo_2023
asia pacific,cn,weo_2023
asia pacific,in,weo_2023
asia pacific,jp,weo_2023
asia pacific,kp,weo_2023
asia pacific,mn,weo_2023
asia pacific,np,weo_2023
asia pacific,nz,weo_2023
asia pacific,pk,weo_2023
asia pacific,lk,weo_2023
asia pacific,tw,weo_2023
asia pacific,bn,weo_2023
asia pacific,kh,weo_2023
asia pacific,id,weo_2023
asia pacific,la,weo_2023
asia pacific,my,weo_2023
asia pacific,mm,weo_2023
asia pacific,ph,weo_2023
asia pacific,sg,weo_2023
asia pacific,th,weo_2023
asia pacific,vn,weo_2023
asia pacific,af,weo_2023
asia pacific,bt,weo_2023
asia pacific,ck,weo_2023
asia pacific,fj,weo_2023
asia pacific,pf,weo_2023
asia pacific,ki,weo_2023
asia pacific,mo,weo_2023
asia pacific,mv,weo_2023
asia pacific,nc,weo_2023
asia pacific,pw,weo_2023
asia pacific,pg,weo_2023
asia pacific,ws,weo_2023
asia pacific,sb,weo_2023
