code,description,sector,borderline
0,"private households, exterritorial organisations, representatives of foreign governments and other activities not adequately defined",not in scope,FALSE
00000,"private households, exterritorial organisations, representatives of foreign governments and other activities not adequately defined",not in scope,FALSE
11110,growing of cereals and other crops n.e.c.,not in scope,FALSE
11130,"growing of fruit, nuts, beverage and spice crops",not in scope,FALSE
11210,"farming  of cattle, sheep, goats, horses, asses, mules and hinnies;dairy farming",not in scope,FALSE
11300,growing of crops combined with farming of animals (mixed farming),not in scope,FALSE
12100,forestry and related services,not in scope,FALSE
12200,logging and related services,not in scope,FALSE
13100,ocean and coastal fishing,not in scope,FALSE
21000,mining of coal and lignite,coal,FALSE
22110,extraction of crude petroleum and natural gas,oil and gas,FALSE
22120,"service activities incidental to oil and gas extraction, excluding surveying",oil and gas,FALSE
23000,mining of gold and uranium ore,not in scope,FALSE
24100,mining of iron ore,not in scope,FALSE
24210,chrome,not in scope,FALSE
24220,copper,not in scope,FALSE
24240,platinum group metals,not in scope,FALSE
24290,"other metal ore mining, except gold and uranium",not in scope,FALSE
25110,"dimension stone (granite, marble, slate, and wonderstone)",not in scope,FALSE
25120,limestone and limeworks,not in scope,FALSE
25190,"other stone quarrying, including stone crushing and clay and sandpits",not in scope,FALSE
25200,mining of diamonds (including alluvial diamonds),not in scope,FALSE
25311,phosphates,not in scope,FALSE
25319,other chemical and fertilizer mineral mining,not in scope,FALSE
25399,other minerals and materials n.e.c.,not in scope,FALSE
29000,service activities incidental to mining of minerals,not in scope,FALSE
30111,"slaughtering, dressing and packing of livestock, including poultry and small game for meat",not in scope,FALSE
30120,"manufacture of canned, preserved and processed fish, crustacea and similar foods (except soups)",not in scope,FALSE
30130,"manufacture of canned, preserved, processed and dehydrated fruit and vegetables (except soups), including fruit juices, juice extracts and potato flour meal",not in scope,FALSE
30203,"manufacture of ice cream and other edible ice, whether or not containing cream or chocolate",not in scope,FALSE
30311,"manufacture of flour and grain mill products, including rice and vegetable milling; grain mill residues",not in scope,FALSE
30330,manufacture of prepared animal feeds,not in scope,FALSE
30410,manufacture of bakery products,not in scope,FALSE
30420,"manufacture of sugar, including golden syrup and castor sugar",not in scope,FALSE
30499,"manufacture of spices, condiments, vinegar, yeast, egg products, soups and other food products n.e.c.",not in scope,FALSE
30521,"breweries, except sorghum beer breweries",not in scope,FALSE
30522,sorghum beer breweries,not in scope,FALSE
30530,manufacture of soft drinks; production of mineral waters,not in scope,FALSE
30600,manufacture of tobacco products,not in scope,FALSE
31111,"preparatory activities in respect of animal fibres, including washing, combing and carding of wool",not in scope,FALSE
31213,"manufacture of automotive textile goods (including safety belts, and seat covers)",not in scope,FALSE
31290,manufacture of other textiles n.e.c.,not in scope,FALSE
31301,garment and hosiery knitting mills,not in scope,FALSE
31700,manufacture of footwear,not in scope,FALSE
32210,"manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and boards",not in scope,FALSE
32310,"manufacture of pulp, paper and paperboard",not in scope,FALSE
32321,manufacture of corrugated paper and paperboard,not in scope,FALSE
32399,other paper products,not in scope,FALSE
32410,"publishing of books, brochures, musical books and other publications",not in scope,FALSE
32420,"publishing of newspapers, journals and periodicals",not in scope,FALSE
32510,printing,not in scope,FALSE
32520,service activities related to printing,not in scope,FALSE
33210,"petrol, fuel oils, lubricating oils and greases, primarily from crude oil",oil and gas,TRUE
33220,"petrol, fuel oils, lubricating oils and greases, primarily from coal",oil and gas,TRUE
33230,"petrol, fuel oils, lubricating oils and greases, primarily from natural gas",oil and gas,TRUE
33290,other petroleum/synthesised products n.e.c.,oil and gas,TRUE
33410,"manufacture of basic chemicals, except fertilizers and nitrogen compounds",not in scope,FALSE
33420,manufacture of fertilizers and nitrogen compounds,not in scope,FALSE
33430,manufacture of plastics in primary form and of synthetic rubber,not in scope,FALSE
33520,"manufacture of paints, varnishes and similar coatings, printing ink and mastics",not in scope,FALSE
33530,"manufacture of pharmaceuticals, medicinal chemicals and botanical products",not in scope,FALSE
33541,manufacture of soap and other cleaning compounds,not in scope,FALSE
33542,"manufacture of perfumes, cosmetics and other toilet preparations",not in scope,FALSE
33593,"manufacture of adhesives, glues, sizes and cements",not in scope,FALSE
33599,manufacture of other chemical products n.e.c.,not in scope,FALSE
33800,manufacture of plastic products,not in scope,FALSE
34111,"manufacture of sheet and plate glass, glass blocks, tubes and rods; glass fibres and glass wool",not in scope,FALSE
34112,"manufacture of glass containers; glass kitchenware and tableware; scientific and laboratory glassware, clock and watch glasses and other glass products n.e.c.",not in scope,FALSE
34220,manufacture of refractory ceramic products,not in scope,FALSE
34230,manufacture of structural non-refractory clay and ceramic products,not in scope,FALSE
34240,"manufacture of cement, lime and plaster",cement,TRUE
34250,"manufacture of articles of concrete, cement and plaster",cement,TRUE
35101,"basic iron and steel industries, except steel pipe and tube mills",steel,FALSE
35102,steel pipe and tube mills,steel,FALSE
35201,"refining of precious metals, e.g. gold, silver, platinum",not in scope,FALSE
35202,"manufacture of primary non-ferrous metal products, excluding precious metals",not in scope,FALSE
35310,casting of iron and steel,steel,TRUE
35320,casting of non-ferrous metals,not in scope,FALSE
35411,manufacture of metal structures or parts thereof,not in scope,FALSE
35419,"other structural metal products, e.g. metal doors, windows and gates",not in scope,FALSE
35510,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",not in scope,FALSE
35521,treating and coating of metals,not in scope,FALSE
35522,general mechanical engineering on a fee or contract basis,not in scope,FALSE
35591,"manufacture of metal containers, e.g. cans and tins",not in scope,FALSE
35592,manufacture of cables and wire products,not in scope,FALSE
35594,manufacture of metal fasteners,not in scope,FALSE
35599,manufacture of other metal products n.e.c.,not in scope,FALSE
35620,"manufacture of pumps, compressors, taps and valves",not in scope,FALSE
35630,"manufacture of bearings, gears, gearing and driving elements",not in scope,FALSE
35650,manufacture of lifting and handling equipment,not in scope,FALSE
35690,manufacture of other general purpose machinery,not in scope,FALSE
35720,manufacture of machine tools,not in scope,FALSE
35730,manufacture of machinery for metallurgy,not in scope,FALSE
35740,"manufacture of machinery for mining, quarrying and construction",not in scope,FALSE
35750,"manufacture of machinery for food, beverage and tobacco processing",not in scope,FALSE
35770,manufacture of weapons and ammunition,not in scope,FALSE
35790,manufacture of other special purpose machinery,not in scope,FALSE
35800,manufacture of household appliances n.e.c.,not in scope,FALSE
36100,"manufacture of electric motors, generators and transformers",power,TRUE
36200,manufacture of electricity distribution and control apparatus,power,TRUE
36300,manufacture of insulated wire and cable,not in scope,FALSE
36600,manufacture of other electrical equipment n.e.c.,not in scope,FALSE
37100,manufacture of electronic valves and tubes and other electronic components,not in scope,FALSE
37200,manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy,not in scope,FALSE
37300,"manufacture of television and radio receivers, sound or video recording or reproducing apparatus and associated goods",not in scope,FALSE
37412,"surgical, medical and dental supplies",not in scope,FALSE
37420,"manufacture of instruments and appliances for measuring, checking, testing, navigating and for other purposes, except industrial process control equipment",not in scope,FALSE
38100,manufacture of motor vehicles,automotive,FALSE
38200,manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,automotive,TRUE
38301,manufacture of radiators,not in scope,FALSE
38309,manufacture of other motor vehicle parts and accessories,automotive,TRUE
38600,manufacture of aircraft and spacecraft,aviation,FALSE
39101,manufacture of furniture made predominantly of metal,not in scope,FALSE
39102,manufacture of furniture made predominantly of plastic materials,not in scope,FALSE
39103,"manufacture of furniture made predominantly of materials other than metal, plastic or concrete",not in scope,FALSE
39212,diamond cutting and polishing,not in scope,FALSE
39230,manufacture of sports goods,not in scope,FALSE
39295,engraving,not in scope,FALSE
39299,"other industries not elsewhere classified, including rubber stamps, taxidermists, ostrich feathers, costume jewellery and novelties, umbrellas and canes",not in scope,FALSE
39510,recycling of metal waste and scrap n.e.c.,not in scope,FALSE
41111,generation,power,FALSE
41200,manufacture of gas; distribution of gaseous fuels through mains,oil and gas,FALSE
41300,steam and hot water supply,not in scope,FALSE
42000,"collection, purification and distribution of water",not in scope,FALSE
50100,site preparation,not in scope,FALSE
50211,construction of homes,not in scope,FALSE
50219,construction of other buildings,not in scope,FALSE
50220,construction of civil engineering structures,not in scope,FALSE
50230,construction of other structures,not in scope,FALSE
50240,construction by specialist trade contractors,not in scope,FALSE
50320,electrical contracting,power,TRUE
50410,painting and decorating,not in scope,FALSE
